==================================================================================================================
  Exp 3a -- Role Targeting: Attn vs FFN  [GRENDEL]
==================================================================================================================
  Model          Quant    Condition    Region           Seed            PPL        % Worse      ARC    Hella  Status
  --------------------------------------------------------------------------------------------------------------
  llama_fp16     FP16     attn_only    weights             0       9910.096      +71281.4%    32.5%    29.3%  OK    
  llama_fp16     FP16     attn_only    weights             1     297521.064      2.14e+06%    26.1%    27.8%  OK    
  llama_fp16     FP16     attn_only    weights             2         13.888          +0.0%    69.2%    41.2%  OK    
  llama_fp16     FP16     ffn_only     weights             0       6736.173      +48420.0%    30.7%    32.3%  OK    
  llama_fp16     FP16     ffn_only     weights             1       1333.015       +9501.6%    30.9%    30.2%  OK    
  llama_fp16     FP16     ffn_only     weights             2         13.885          +0.0%    69.2%    41.2%  OK    

  llama_q4       Q4_0     attn_only    weights             0     630099.486      4.18e+06%    24.7%    27.9%  OK    
  llama_q4       Q4_0     attn_only    weights             1      1.210e+06      8.04e+06%    25.0%    27.9%  OK    
  llama_q4       Q4_0     attn_only    weights             2         15.953          +5.9%    66.0%    40.4%  OK    
  llama_q4       Q4_0     ffn_only     weights             0      1.001e+06      6.65e+06%    24.5%    27.8%  OK    
  llama_q4       Q4_0     ffn_only     weights             1     636527.255      4.23e+06%    24.6%    26.5%  OK    
  llama_q4       Q4_0     ffn_only     weights             2         15.229          +1.1%    67.6%    40.9%  OK    

  llama_q4km     Q4_K_M   attn_only    weights             0     983495.378      6.85e+06%    25.1%    27.3%  OK    
  llama_q4km     Q4_K_M   attn_only    weights             1            N/A            N/A    25.1%    27.3%  OK    
  llama_q4km     Q4_K_M   attn_only    weights             2      1.238e+06      8.62e+06%    24.0%    27.1%  OK    
  llama_q4km     Q4_K_M   ffn_only     weights             0      3.680e+06      2.56e+07%    23.8%    27.7%  OK    
  llama_q4km     Q4_K_M   ffn_only     weights             1      1.833e+06      1.28e+07%    24.5%    27.5%  OK    
  llama_q4km     Q4_K_M   ffn_only     weights             2      1.269e+06      8.84e+06%    24.1%    27.0%  OK    

  llama_q8       Q8_0     attn_only    weights             0     636450.782      4.58e+06%    25.0%    27.7%  OK    
  llama_q8       Q8_0     attn_only    weights             1         13.890          +0.0%    69.1%    41.2%  OK    
  llama_q8       Q8_0     attn_only    weights             2      1.365e+06      9.82e+06%    25.1%    28.2%  OK    
  llama_q8       Q8_0     ffn_only     weights             0      1.957e+06      1.41e+07%    25.1%    28.3%  OK    
  llama_q8       Q8_0     ffn_only     weights             1      1.048e+06      7.54e+06%    23.9%    27.6%  OK    
  llama_q8       Q8_0     ffn_only     weights             2      1.351e+06      9.73e+06%    24.4%    28.4%  OK    

  qwen_fp16      FP16     attn_only    weights             0      2.700e+06      1.70e+07%    26.6%    28.3%  OK    
  qwen_fp16      FP16     attn_only    weights             1      4.057e+06      2.56e+07%    25.6%    27.9%  OK    
  qwen_fp16      FP16     attn_only    weights             2      9.935e+06      6.26e+07%    24.7%    28.6%  OK    
  qwen_fp16      FP16     ffn_only     weights             0      1.862e+07      1.17e+08%    24.5%    28.0%  OK    
  qwen_fp16      FP16     ffn_only     weights             1      2.730e+06      1.72e+07%    26.1%    27.9%  OK    
  qwen_fp16      FP16     ffn_only     weights             2      1.314e+10      8.28e+10%    25.1%    28.1%  OK    

  qwen_q4        Q4_0     attn_only    weights             0         17.903          +2.1%    62.1%    37.3%  OK    
  qwen_q4        Q4_0     attn_only    weights             1      1.097e+07      6.25e+07%    26.3%    27.9%  OK    
  qwen_q4        Q4_0     attn_only    weights             2      6.339e+06      3.61e+07%    26.0%    27.5%  OK    
  qwen_q4        Q4_0     ffn_only     weights             0      7.202e+07      4.11e+08%    25.5%    27.6%  OK    
  qwen_q4        Q4_0     ffn_only     weights             1      8.847e+07      5.04e+08%    37.2%    28.1%  OK    
  qwen_q4        Q4_0     ffn_only     weights             2      3.034e+06      1.73e+07%    24.1%    27.4%  OK    

  qwen_q4km      Q4_K_M   attn_only    weights             0      1.761e+07      1.07e+08%    26.9%    27.5%  OK    
  qwen_q4km      Q4_K_M   attn_only    weights             1            N/A            N/A    25.4%    28.0%  OK    
  qwen_q4km      Q4_K_M   attn_only    weights             2      6.164e+06      3.75e+07%    26.6%    28.5%  OK    
  qwen_q4km      Q4_K_M   ffn_only     weights             0      2.163e+08      1.32e+09%    26.0%    27.2%  OK    
  qwen_q4km      Q4_K_M   ffn_only     weights             1      1.819e+07      1.11e+08%    25.9%    27.8%  OK    
  qwen_q4km      Q4_K_M   ffn_only     weights             2      2.095e+07      1.28e+08%    24.0%    27.8%  OK    

  qwen_q8        Q8_0     attn_only    weights             0         16.308          +2.2%    66.6%    37.4%  OK    
  qwen_q8        Q8_0     attn_only    weights             1      1.188e+07      7.45e+07%    26.8%    28.0%  OK    
  qwen_q8        Q8_0     attn_only    weights             2      7.035e+06      4.41e+07%    26.2%    27.3%  OK    
  qwen_q8        Q8_0     ffn_only     weights             0      1.093e+08      6.85e+08%    24.7%    28.0%  OK    
  qwen_q8        Q8_0     ffn_only     weights             1      3.224e+08      2.02e+09%    35.9%    29.0%  OK    
  qwen_q8        Q8_0     ffn_only     weights             2      2.651e+06      1.66e+07%    24.5%    27.5%  OK    
==================================================================================================================
